l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
23048154,16773,22037741,1603400715,3324981097,2449130990,89935,0,419675877,39845888,1422655488,0
19587397,14857,18830365,1369504013,3326137513,2582095187,66873,0,419759571,39845888,1216151552,655360
20353610,13095,19511899,1422322117,3326323994,2552757658,71772,0,419945180,39845888,1262419968,4259840
20804413,14608,19924367,1446631003,3323822373,2537163044,79633,0,419856136,39845888,1292763136,3473408
24478638,16932,23432894,1705693537,3325406541,2398489615,87532,0,419830235,39845888,1510998016,0
19277085,12221,18533679,1351992123,3323428827,2587063464,65657,0,419847030,39845888,1187119104,0
20765087,12476,19830552,1446112540,3315528728,2527545613,74981,0,419851679,39845888,1288568832,0
19432792,12253,18643451,1356114747,3327424385,2592681805,66912,0,420013169,39845888,1196556288,0
24755893,18648,23659683,1733283479,3323851538,2384001782,95655,0,419585603,39845888,1541341184,393216
20398756,13171,19607983,1431954795,3324702886,2544596382,79053,0,419831980,39845888,1268580352,0
20202523,17301,19368258,1407565074,3326665013,2569541076,72188,0,419738263,39845888,1239023616,1310720
20182398,13480,19402415,1413340675,3327191915,2557586683,75707,0,419728057,39845888,1260453888,1376256
22665204,163632,21546103,1569003279,3323769618,2466059600,74828,0,419870892,39845888,1395589120,5767168
22546141,12820,21552678,1565441767,3325896655,2476296644,80118,0,419834470,39845888,1385889792,0
19784279,14381,18909444,1381515186,3326093829,2578677892,72699,0,419851576,39845888,1227161600,3604480
20325293,19216,19595495,1425427786,3318184577,2543315077,69702,0,419774390,39845888,1261764608,0
21333378,13162,20504122,1489444039,3325796317,2522703558,79121,0,419787308,39845888,1319436288,6422528
24406394,15906,23293233,1708943706,3321251700,2397536054,83673,0,419840500,39845888,1512505344,0
19495947,166145,18515016,1359059277,3325497539,2583014308,67747,0,420046100,39845888,1197670400,589824
20618328,13979,19658590,1432830163,3316253594,2539959414,75855,0,419788671,39845888,1279328256,0
19293607,13674,18602666,1354792060,3326216550,2593295766,70110,0,419796694,39845888,1196425216,2031616
25630804,17228,24427562,1779454856,3323133354,2354387371,89152,0,419679223,39845888,1585184768,0
20970991,14955,20044740,1462334839,3323283073,2533754555,74837,0,419989702,39845888,1289682944,5177344
20447836,15211,19521080,1424857617,3325586826,2552954261,76278,0,419832322,39845888,1266810880,0
20091800,12155,19287718,1402712767,3329494416,2569373654,70647,0,419896116,39845888,1241907200,0
22767670,17090,21831117,1585513747,3326791170,2468617116,83169,0,419811560,39845888,1414791168,3538944
21804259,12966,20861001,1520124990,3324915005,2496800742,77849,0,419811513,39780352,1340538880,0
19657911,15738,18830635,1378007725,3324385661,2576603712,71273,0,419894875,39845888,1223163904,2228224
20378222,14763,19530954,1417824734,3327274433,2556340967,70820,0,419985664,39583744,1259339776,0
21758863,168114,20691666,1511432983,3318711718,2499964175,80811,0,419875304,39845888,1343881216,9830400
23939916,17774,22888118,1674027781,3324542739,2423264399,79962,0,419870969,39845888,1478426624,0
19231955,247552,18348936,1342731227,3327643153,2598901943,70583,0,419816808,39845888,1187119104,0
20486231,15218,19590095,1430510498,3323788835,2549271649,73230,0,419932487,39845888,1266614272,3211264
20488979,673092,19266653,1415534157,3327828567,2563211873,177624,0,419767453,39845888,1255014400,786432
24873916,12970,23406358,1716911399,3323212332,2401032794,489457,0,419816179,39845888,1516175360,1769472
19790783,10130,18632402,1354477728,3327123397,2592439142,391320,0,419844741,39845888,1199702016,0
21100880,13616,19896945,1452439049,3325339789,2539198335,414125,0,419701223,39845888,1285816320,0
20235714,17418,19105699,1387130501,3328005693,2578546323,397285,0,419887594,39845888,1231028224,0
24311354,12482,22933229,1658371699,3325991516,2423704307,481886,0,420064738,39845888,1485897728,6881280
22076795,11958,20726063,1518943884,3321678690,2497894102,436530,0,419572414,39845888,1341259776,0
19944008,17094,18774037,1367938334,3314752632,2572301502,389235,0,419832328,39845888,1215561728,786432
20773582,13371,19601292,1432301941,3324106429,2555914947,413905,0,419750716,39845888,1260847104,1900544
22933133,13601,21539546,1562561576,3326411676,2470641287,458912,0,419788759,39845888,1391460352,786432
24102005,17794,22710512,1663298140,3324071976,2432888606,480099,0,419880144,39845888,1470169088,0
19780400,12894,18645429,1350752619,3330074575,2593374072,388901,0,419785599,39845888,1206845440,0
20649523,12965,19502658,1412670081,3314346283,2547476013,400793,0,419960040,39845888,1247019008,3735552
21401407,10624,19994601,1461304429,3324366426,2529294781,418522,0,419801780,39845888,1304887296,1310720
24570161,11279,23058866,1679481577,3321832624,2415601464,480472,0,419681197,39845888,1493106688,0
19698982,10223,18636247,1358679222,3326688315,2590430295,387199,0,419890228,39845888,1206779904,0
20777244,11543,19575009,1428401197,3323474205,2551895407,415747,0,419690398,39845888,1265434624,2097152
