l2miss,r1b2,LLC-load-misses,LLC-store-misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy
55061933,93,37404733,1805871,3345182496,7362110156,5206422152,7,0,419963514,40566784
55422508,226,37621600,1827991,3348679583,7351348996,5187512682,4,4,420016371,40828928
55436136,663,37506315,1796757,3346899797,7359010324,5206574258,2,2,420157932,40566784
53154096,88,36616877,1703515,3308708183,7253768219,5140366356,7,0,420541920,40435712
51876988,192,36198122,1615416,3280730256,7125953236,5058865558,7,2,419995470,40108032
49977400,157,36188381,1577568,3321779483,7178419348,5087413387,4,0,426186000,40828928
49576870,22,35913758,1576031,3293463289,7053431930,4981030373,4,14,420099534,39714816
49297545,198,34522630,1548603,3320261052,6966547463,4891875977,14,16,420564248,41680896
49236799,215,35029784,1580075,3320940909,7006594232,4913565680,6,11,421634212,40173568
48390269,150,34687919,1503834,3273945505,6868866274,4825142191,5,12,419874624,39976960
48244235,624,34642337,1470900,3271079360,6897547188,4857074102,4,2,419976357,39976960
47164348,764,34451833,1415975,3257219407,6772357636,4747606587,4,7,419923689,40042496
46312734,471,33649053,1315795,3209697978,6685734815,4719734575,2,11,419859279,40108032
45312069,400,33162271,1373167,3129325149,6511439841,4555344104,49,13,423078384,40239104
46656977,930,33761745,1302890,3205944603,6684403175,4726639681,7,2,416875554,40239104
46656108,676,33812811,1471190,3285951724,6797416408,4734713310,0,2,419900928,40108032
46071099,239,33072873,1524591,3693365229,6861875376,4650005213,14,5,419887218,40304640
43483956,7,31736493,1404251,3911958240,6774335963,4543481959,9,18,419887803,40304640
36307262,296,27360815,1081165,3502177489,5856888874,3872036104,13,23,420684672,39583744
33672841,371,26411619,811800,3252683163,5635352907,3802862230,196,13,419213775,39190528
32865227,215,26538545,714962,2716664204,5457639495,3822131809,2,5,420072408,38666240
32370788,7,25156066,736640,2781018366,5359942483,3707763891,11,5,419847453,39256064
34000378,457,25084495,864775,2839582978,5425804994,3701203763,280,4,420222672,39124992
34232091,871,25929156,840076,2790973688,5431167569,3715885727,2,7,420164760,40108032
36399707,110,25694924,962979,2913127445,5543325393,3772697219,14,5,420364308,40108032
35781466,90,26653816,992822,2899017379,5637049627,3837376673,7,4,420747057,40173568
36741268,368,26841734,918609,2849761192,5576856922,3830924036,2,7,419767812,39976960
35742836,305,27162868,914003,2841090385,5635645788,3878633970,4,9,419889510,40108032
36358264,96,27379353,907361,2818258413,5584913932,3851832538,5,5,419941407,39845888
35839319,509,27262032,854188,2800674965,5606767736,3882214897,4,9,419851869,40239104
37673055,974,27316385,1113658,2971691866,5726729385,3868258891,5,13,419904120,40239104
46345990,347,27918683,1724868,3311237740,6177203642,4068766991,7,11,419839863,39911424
49100370,7,30029107,2033786,3457727944,6556410692,4261769318,7,7,419957973,40108032
51694408,45,30827201,2034169,3392094096,6564916885,4281266982,4,2,419818902,40108032
52170744,7,32193511,1920401,3297940800,6617979225,4394813921,7,4,419926746,39976960
51324772,574,32940939,1895124,3259764099,6635814334,4420281659,0,7,419901969,39714816
53962723,187,33082535,1887869,3398898790,6757788276,4448308381,7,0,419997444,40108032
54191742,745,34269820,1825889,3342130293,6836969025,4531149337,2,5,420208290,39059456
53873624,2,34815688,1776999,3298167712,6828327490,4564198140,9,2,419928078,39124992
54677936,52,34835042,1764916,3307885704,6837490647,4566920589,2,2,419726994,40697856
53825458,16,35123924,1740816,3286725627,6836458431,4584474271,5,0,419990280,40239104
54214064,2,35512529,1711755,3235403638,6840415885,4620322885,7,0,422025414,40304640
54345747,29,35483996,1713749,3291912405,6883702551,4619102965,0,0,420102072,40501248
52756537,13,33952081,1694174,3071703440,6485814370,4351463249,9,4,652333641,39911424
53243370,43,35025930,1676513,3097419593,6657713254,4503365348,14,4,188745618,39911424
53518124,0,35578752,1635554,3232598756,6843957596,4635164438,16,4,419950413,40501248
54548291,270,35427482,1645644,3258052876,6861219647,4612664684,20,4,419935404,40501248
55336539,266,35439006,1741920,3325328898,6973051285,4656686245,5,4,419932965,40566784
56158537,0,36106029,1669016,3299630060,6973616887,4676131725,7,4,420117084,39256064
55477823,204,36231183,1677513,3253208837,6982165875,4703997480,11,0,420007191,39190528
55488987,58,36607849,1630295,3236162821,6982603554,4715233867,7,4,420057771,39452672
55900430,616,36500006,1637653,3242746451,6979056235,4707751715,5,0,419754030,40632320
55109537,0,36642866,1608404,3217596651,6984035731,4731183886,5,0,419908449,40566784
55607152,45,36814667,1615992,3201838992,6988416490,4734971208,7,0,419988765,40435712
55450537,2,36640815,1613274,3236134161,6984845414,4720615900,7,0,419885646,40697856
55712142,0,37213378,1590050,3193975469,6991903744,4748963468,23,2,419967036,40501248
55223955,0,36836238,1602764,3206749376,6988767697,4741626411,11,0,419885130,40632320
55702794,2,37181412,1565808,3202053806,6992693917,4747570171,2,0,419946771,40501248
55391305,32,37195926,1578883,3168663609,6995401861,4759350417,11,4,420002781,40173568
55121846,80,37184090,1548794,3176568528,6993073987,4760334053,11,0,419969871,40632320
55794869,168,37302074,1555551,3168702922,6995850236,4763852433,9,2,420090021,40501248
54769668,22,36774867,1543691,3181106490,6987785068,4754490001,2,2,419940558,40435712
55511523,177,36945144,1540204,3191845393,6988810065,4752725537,9,5,419954511,40108032
55089705,69,36850191,1550253,3184404217,6969827799,4740600560,14,4,419920803,40501248
55273928,115,37450032,1522985,3162647831,7004071443,4778136463,9,0,419942064,40566784
55849267,0,36873567,1557095,3215837732,7004136126,4751007304,9,0,420110247,39583744
55330320,67,37145636,1520437,3183976804,7004457282,4771996848,7,0,419976183,39583744
55258330,41,37398863,1537106,3145199034,7014712296,4797092137,5,0,419966145,39321600
55091135,0,36884853,1456890,3235980621,6999846247,4741391618,13,0,419924925,40566784
55708761,5,37233951,1390041,3203332013,7005562008,4765711491,20,0,420041634,39124992
54791344,0,37194443,1408070,3168157690,7011682812,4783587821,11,0,419922555,39387136
55541502,7,37487008,1383396,3202828902,7006937360,4765793240,16,0,419781051,40435712
55207536,302,37281000,1398095,3179407968,7011388316,4781764251,9,0,419855454,40435712
52483294,686,35947479,1323390,3019887470,7019135808,4891876133,9,0,420060486,40697856
