l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
55261683,462914,7768079,3646982054,3164828077,1548537739,38743088,0,419875492,2097152,458358784,15925248
56213427,238584,7351742,3658754639,3136750231,1505666673,36098567,0,420022400,2097152,444071936,17694720
61593694,345103,7405763,3765048318,3133017537,1529961852,39594753,0,419808529,2097152,448004096,24248320
62186716,626983,7746073,3981534992,3191535234,1527299736,40106335,0,419935283,2097152,450887680,31916032
62020440,199386,7937165,3996564066,3343600173,1650134008,44608609,0,419893733,2097152,469696512,10878976
55294881,199226,8015363,3944935119,3148806373,1486181123,37311118,0,419824267,2097152,468123648,27983872
55898565,619484,7897424,3718341116,3158803559,1535212023,38408317,0,419775134,2097152,451215360,12648448
58784102,456023,7378513,3647324631,3175243339,1578076751,40683138,0,420060651,2097152,430112768,21823488
58839453,253810,7481467,3654487278,3149491433,1539629525,40018757,0,419876067,2097152,423624704,17694720
57954824,239895,7698106,3757955643,3148741068,1496181521,38949680,0,419708245,2097152,431489024,15073280
57233867,219732,7642387,3770508796,3131986039,1503629899,38265739,0,419988611,2097152,444792832,26279936
62628983,265082,7840277,3829503289,3343478804,1643804088,42119795,0,419904135,2097152,464388096,14286848
57881219,621283,7680832,3927720467,3137522077,1510803345,38859102,0,419881833,2097152,453509120,18808832
58645177,632283,8011035,3797073251,3151285393,1511647460,38943062,0,419851922,2097152,487981056,11862016
61821302,491497,7141261,3644508934,3207320076,1570462792,41716402,0,419846386,2097152,470089728,24444928
61683897,212174,7296709,3712330784,3230458993,1609186500,42311012,0,419946864,2097152,490471424,25296896
58565403,207987,7747763,3715203587,3154391301,1546046182,41229316,0,419996408,2097152,482541568,19333120
61950279,231934,7503929,3709974014,3267795322,1602699472,42735765,0,419551651,2097152,489095168,16449536
56071352,202947,7956956,3908288882,3243697047,1634623381,42681855,0,420032425,2097152,540016640,34668544
58995580,323120,8031169,3870226116,3177498999,1499838547,41281065,0,419725037,2097152,498335744,14352384
59920040,206531,7867941,3893942212,3183524288,1476120095,39736093,0,419688309,2097152,517537792,23592960
60532874,278753,7908831,3767822028,3178336483,1505579393,40189814,0,419908204,2097152,467337216,18022400
59833630,239719,7663083,3846887997,3177355822,1510229447,39733431,0,419940222,2097152,448856064,17563648
57291737,200845,7563446,3724990513,3135050685,1539078939,39501862,0,419795178,2097152,448462848,22675456
59011702,258257,7351009,3690202508,3152714699,1574430555,41563263,0,419917442,2097152,455737344,16973824
61200064,221080,7628781,3963469227,3342330714,1612967970,40986100,0,419932044,2097152,516947968,41746432
59228394,327864,7323455,3757672968,3209527694,1521484260,38911059,0,419757793,2097152,478085120,10223616
61225159,252646,7428364,3753810844,3200138164,1503574589,39486786,0,419444570,2097152,467861504,22085632
61493910,255583,7854093,3896822494,3185008707,1493239845,39403912,0,419594323,2097152,450166784,20774912
61860125,260908,7821285,3890063387,3186301577,1510475033,41989001,0,419804147,2097152,478674944,22216704
60249532,190844,7657204,3741257249,3177917031,1541648039,42640454,0,419772409,2097152,473759744,16187392
60691306,441953,7217237,3740008495,3190925650,1561222374,41356496,0,419851246,2097152,504496128,26083328
61772454,228404,7816959,3827893230,3342298823,1670735524,43486530,0,419914779,2097152,533856256,14811136
59501065,236909,7604004,3844058584,3188678322,1574460553,41314374,0,419701905,2097152,489422848,15859712
63566172,224435,7503562,3764161564,3132262100,1501295608,40891514,0,419900288,2097152,480313344,32768000
59351878,229181,7767090,3800854458,3184412299,1548995769,40105636,0,420008936,2097152,488898560,22216704
56827076,270767,7493538,3669572213,3147026008,1549702820,39681133,0,419930744,2097152,492240896,19726336
61202276,270480,7381464,3662841139,3140371215,1535002752,40057675,0,420073772,2097152,486670336,23265280
65950858,252390,7484213,3852868456,3311747353,1633841678,43707382,0,419608268,2097152,497418240,17891328
59149316,210423,7374970,3896998725,3230591897,1556012082,39713864,0,420045108,2097152,505806848,33095680
61276342,256949,7292212,3650515136,3136939740,1537366494,39910259,0,420028816,2097152,461897728,14876672
60692825,249480,7422056,3666466660,3203181698,1574870664,39989762,0,419963012,2097152,481296384,21823488
59904573,235456,7421515,3763019153,3132573575,1500803942,38474048,0,419738312,2097152,478412800,27394048
59883530,232375,7763094,3795360851,3140092569,1499465237,38000851,0,419895216,2097152,500695040,16515072
60324373,258586,7407169,3640296706,3163317044,1527416703,40320035,0,419845494,2097152,495321088,27918336
61857265,265517,7784360,3805138589,3342091376,1684023976,44170467,0,419844757,2097152,509870080,15990784
61555966,331171,7631939,3838795175,3163302311,1517860304,40769476,0,419591080,2097152,472842240,25886720
58613444,366007,7680594,3788446831,3155897314,1530258066,40762648,0,420011005,2097152,504365056,20054016
27537472,109165,3692097,1765372912,1497156320,739636059,19150253,0,419452880,1900544,256049152,393216
